2025-11-18 16:17:01,636 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 16:17:01,637 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 16:17:01,859 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 16:17:01,859 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 16:17:02,144 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 16:17:02,145 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 16:17:02,192 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 16:17:02,193 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 16:17:02,235 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 16:17:02,235 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:00:53,862 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 17:00:53,863 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:00:53,865 | WARNING | urllib3.connectionpool | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1055974d0>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,866 | WARNING | urllib3.connectionpool | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x105630cd0>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,866 | WARNING | urllib3.connectionpool | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x105630f50>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,870 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 17:00:53,871 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:00:53,872 | WARNING | urllib3.connectionpool | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1055a29e0>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,873 | WARNING | urllib3.connectionpool | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1055e9010>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,873 | WARNING | urllib3.connectionpool | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1055f88d0>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,876 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 17:00:53,877 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:00:53,877 | WARNING | urllib3.connectionpool | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1055fa140>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,878 | WARNING | urllib3.connectionpool | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1055fa580>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,878 | WARNING | urllib3.connectionpool | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1055fa9c0>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,881 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 17:00:53,882 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:00:53,882 | WARNING | urllib3.connectionpool | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1055fbdf0>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,883 | WARNING | urllib3.connectionpool | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1056bc270>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,883 | WARNING | urllib3.connectionpool | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1056bc6b0>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,885 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 17:00:53,886 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:00:53,887 | WARNING | urllib3.connectionpool | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1056bd260>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,887 | WARNING | urllib3.connectionpool | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1056bd6a0>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,887 | WARNING | urllib3.connectionpool | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1056bdae0>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,890 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 17:00:53,891 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:00:53,891 | WARNING | urllib3.connectionpool | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1055fb570>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,892 | WARNING | urllib3.connectionpool | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1055fae00>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,892 | WARNING | urllib3.connectionpool | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1055fabe0>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,895 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 17:00:53,895 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:00:53,896 | WARNING | urllib3.connectionpool | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1056bc380>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,896 | WARNING | urllib3.connectionpool | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1056bc9e0>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,897 | WARNING | urllib3.connectionpool | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1056be8b0>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,900 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 17:00:53,900 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:00:53,901 | WARNING | urllib3.connectionpool | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1056e0380>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,901 | WARNING | urllib3.connectionpool | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1056e07c0>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,901 | WARNING | urllib3.connectionpool | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1056e0c00>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,904 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 17:00:53,905 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:00:53,905 | WARNING | urllib3.connectionpool | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1056e19d0>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,906 | WARNING | urllib3.connectionpool | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1056e1e10>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,906 | WARNING | urllib3.connectionpool | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1056e2250>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,909 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 17:00:53,910 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:00:53,910 | WARNING | urllib3.connectionpool | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1056bfce0>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,911 | WARNING | urllib3.connectionpool | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1056bcf30>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,911 | WARNING | urllib3.connectionpool | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1056bce20>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,914 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 17:00:53,914 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:00:53,915 | WARNING | urllib3.connectionpool | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1056bc160>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,915 | WARNING | urllib3.connectionpool | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1056bc7c0>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:00:53,915 | WARNING | urllib3.connectionpool | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1056bc5a0>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:01:07,662 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 17:01:07,664 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:01:07,665 | WARNING | urllib3.connectionpool | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106adea50>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:01:07,666 | WARNING | urllib3.connectionpool | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1069f3d90>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:01:07,666 | WARNING | urllib3.connectionpool | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106b38050>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:01:13,322 | INFO | utils.driver_manager | Loading capabilities from /Users/medha/mobile_automation_framework/config/capabilities.json
2025-11-18 17:01:13,324 | INFO | utils.driver_manager | Starting Appium session on http://127.0.0.1:4723
2025-11-18 17:01:13,326 | WARNING | urllib3.connectionpool | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10774ea50>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
2025-11-18 17:01:13,327 | WARNING | urllib3.connectionpool | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107567d90>: Failed to establish a new connection: [Errno 1] Operation not permitted')': /session
